"Media_dias_adelanto";"Veces_adelanto";"Media_dias_tarde";"Veces_atraso";"Blanco";"Incidencia";"No_Contacto";"No_Enviara";"Enviara";"Limpio";"Baja";"Depuracion";"Inc_Definitiva";"Inc_Provisional";"NoRecogido";"Tipo_Carta";"Tipo_Email";"Tipo_Fax";"Tipo_Otros";"Tipo_Telefono";"Tipo_Web";"Tiene_Gestoria";"No_Tiene_Gestoria"
"059070073SS";16.25;12;19;4;0;0;0;0;0;25;0;0;75;0;68.75;25;6.25;0;0;0;0;0;100
"059070178SS";5.8;35;4;1;0;0;0;0;0;72.2222222222222;0;0;0;27.7777777777778;27.7777777777778;0;0;0;0;8.33333333333333;63.8888888888889;100;0
"060010943MM";3;3;27;1;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;100
"060070100SS";9.84375;32;28;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;5.55555555555556;94.4444444444444;0;100
"061070233SS";18.75;24;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"062020098MM";10.2941176470588;34;12;2;0;0;0;0;0;91.6666666666667;0;0;8.33333333333333;0;8.33333333333333;0;0;0;0;91.6666666666667;0;0;100
"062060185MM";11.3888888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"062070471MM";8.63888888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"062070911MM";7;2;19;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;50;50;0;100
"063030813MM";9.08333333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;100
"064080095SS";17.3076923076923;13;17;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;6.25;93.75;0;100
"065070103MM";13.5;26;23.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"065070440MM";7.77777777777778;18;34.6666666666667;3;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"065070990MM";10.4166666666667;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;100;0
"065080085MM";8.06666666666667;15;38;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;100
"065080563MM";0;0;14.8571428571429;7;0;0;0;0;0;0;71.4285714285714;0;28.5714285714286;0;100;0;0;0;0;0;0;0;100
"066020098MM";9.46153846153846;26;40.5;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;7.14285714285714;92.8571428571429;100;0
"067020021MM";8.5;2;34.5;2;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0;0;100
"068070483MM";9.10714285714286;28;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"068070747MM";12.8571428571429;35;13;1;0;0;0;0;0;86.1111111111111;0;0;0;13.8888888888889;13.8888888888889;0;66.6666666666667;0;0;16.6666666666667;2.77777777777778;100;0
"069070200SS";21.25;12;14.5;2;0;0;0;0;0;100;0;0;0;0;0;0;71.4285714285714;7.14285714285714;0;14.2857142857143;7.14285714285714;0;100
"070010916MM";11.71875;32;21.25;4;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;2.77777777777778;97.2222222222222;100;0
"070010917MM";11.2777777777778;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"071070167SS";19.0833333333333;12;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"072020004MM";9.5;12;35;2;0;0;0;0;0;100;0;0;0;0;0;14.2857142857143;0;0;0;21.4285714285714;64.2857142857143;0;100
"072070228SS";10.0909090909091;11;6;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;8.33333333333333;91.6666666666667;0;100
"072080028MM";6.82857142857143;35;34;1;0;0;0;0;0;100;0;0;0;0;0;94.4444444444444;2.77777777777778;0;0;2.77777777777778;0;0;100
"073020033MM";10.3333333333333;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;55.5555555555556;16.6666666666667;0;0;27.7777777777778;100;0
"073070265MM";4.08333333333333;24;30.1428571428571;7;0;0;9.67741935483871;0;29.0322580645161;61.2903225806452;0;0;0;0;38.7096774193548;0;3.2258064516129;0;3.2258064516129;0;54.8387096774194;100;0
"073070413MM";10.2222222222222;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;27.7777777777778;72.2222222222222;0;100
"073080048MM";12.6388888888889;36;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;100;0
"074010914MM";6.79411764705882;34;31.5;2;0;0;2.77777777777778;0;0;97.2222222222222;0;0;0;0;2.77777777777778;0;0;0;2.77777777777778;0;94.4444444444444;100;0
"074050368MM";9.02777777777778;36;0;0;0;0;0;0;0;83.3333333333333;0;0;0;16.6666666666667;16.6666666666667;0;0;0;0;83.3333333333333;0;0;100
"074070113SS";16.5652173913043;23;4;1;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;100;0
